primary_label,rating,count
21038,0,2
21116,0,2
21211,0,8
21211,2,4
21211,3,44
21211,4,19
21211,5,1
22333,0,43
22333,3,1
22333,4,2
22333,5,1
22973,0,40
22973,3,1
22973,4,9
22973,4.5,1
22973,5,2
22976,0,41
22976,4,1
22976,5,2
24272,0,4
24272,4,1
24272,5,1
24292,0,3
24322,0,6
24322,4,6
24322,5,1
41663,0,105
41663,3,1
41663,5,2
41778,0,1
41778,4,1
41970,0,4
41970,1,4
41970,2,7
42007,0,19
42087,0,2
42113,0,2
46010,0,4
46010,5,1
47067,0,2
48124,0,20
50186,0,30
52884,0,33
64862,0,2
65336,0,6
65344,0,14
65344,4,1
65344,5,1
65349,0,14
65349,4.5,1
65349,5,1
65373,0,26
65373,4,4
65373,5,2
65419,0,3
65448,0,79
65448,4,1
65448,4.5,1
65448,5,1
65547,0,6
65547,4,1
65962,0,20
65962,5,1
66016,0,1
66016,5,1
66531,0,2
66578,0,2
66893,0,3
66893,3,1
66893,4,1
67082,0,2
67252,0,2
67252,4,11
67252,5,1
81930,0,2
126247,0,5
126247,3.5,1
134933,0,3
134933,4,1
135045,0,10
476537,0,2
476538,0,4
476538,4.5,1
517119,0,56
517119,5,2
523060,0,4
528041,0,2
548639,0,5
555086,0,10
555086,4,12
555086,5,3
555142,0,6
566513,0,22
566513,4,1
714022,0,5
715170,0,17
787625,0,7
868458,0,4
963335,0,5
1139490,0,2
1192948,0,4
1194042,0,3
1346504,0,5
1462711,0,3
1462737,0,7
1564122,0,6
amakin1,0,10
amakin1,0.5,1
amakin1,1.5,1
amakin1,2,1
amakin1,2.5,1
amakin1,3,10
amakin1,3.5,6
amakin1,4,29
amakin1,4.5,8
amakin1,5,22
amekes,0,277
amekes,1,1
amekes,2,4
amekes,3,26
amekes,3.5,1
amekes,4,58
amekes,5,42
ampkin1,0,1
ampkin1,0.5,1
ampkin1,2,2
ampkin1,3,8
ampkin1,3.5,3
ampkin1,4,7
ampkin1,5,6
anhing,0,31
anhing,1,2
anhing,2,1
anhing,3,7
anhing,3.5,1
anhing,4,24
anhing,5,25
babwar,0,90
babwar,2,6
babwar,3,15
babwar,4,35
babwar,5,21
bafibi1,2,3
bafibi1,3,5
bafibi1,4,14
bafibi1,4.5,2
bafibi1,5,3
banana,0,156
banana,0.5,1
banana,1,2
banana,2,19
banana,2.5,7
banana,3,61
banana,3.5,16
banana,4,170
banana,4.5,34
banana,5,144
baymac,0,27
baymac,1.5,1
baymac,2.5,1
baymac,3,7
baymac,3.5,6
baymac,4,42
baymac,4.5,12
baymac,5,53
bbwduc,0,211
bbwduc,1,5
bbwduc,2,6
bbwduc,2.5,1
bbwduc,3,21
bbwduc,3.5,6
bbwduc,4,77
bbwduc,4.5,18
bbwduc,5,79
bicwre1,0,8
bicwre1,1,1
bicwre1,2,4
bicwre1,2.5,3
bicwre1,3,20
bicwre1,3.5,1
bicwre1,4,25
bicwre1,4.5,4
bicwre1,5,27
bkcdon,0,18
bkcdon,1,1
bkcdon,2,2
bkcdon,3,15
bkcdon,3.5,10
bkcdon,4,41
bkcdon,4.5,15
bkcdon,5,74
bkmtou1,0,118
bkmtou1,1,2
bkmtou1,2,7
bkmtou1,2.5,1
bkmtou1,3,31
bkmtou1,3.5,2
bkmtou1,4,46
bkmtou1,4.5,6
bkmtou1,5,98
blbgra1,0,109
blbgra1,1.5,1
blbgra1,2,2
blbgra1,2.5,5
blbgra1,3,16
blbgra1,3.5,12
blbgra1,4,101
blbgra1,4.5,18
blbgra1,5,116
blbwre1,0,19
blbwre1,1,2
blbwre1,2,3
blbwre1,3,12
blbwre1,3.5,8
blbwre1,4,19
blbwre1,4.5,13
blbwre1,5,34
blcant4,0,18
blcant4,1.5,1
blcant4,2,1
blcant4,2.5,3
blcant4,3,20
blcant4,3.5,5
blcant4,4,28
blcant4,4.5,7
blcant4,5,22
blchaw1,0,5
blchaw1,1,1
blchaw1,2,1
blchaw1,2.5,1
blchaw1,3,7
blchaw1,3.5,4
blchaw1,4,15
blchaw1,4.5,2
blchaw1,5,18
blcjay1,0,22
blcjay1,1,1
blcjay1,1.5,1
blcjay1,2,4
blcjay1,2.5,1
blcjay1,3,11
blcjay1,3.5,6
blcjay1,4,31
blcjay1,4.5,9
blcjay1,5,22
blctit1,1,4
blctit1,1.5,2
blctit1,2,8
blctit1,3,11
blctit1,4,4
blctit1,5,3
blhpar1,0,31
blhpar1,0.5,1
blhpar1,1.5,1
blhpar1,2,6
blhpar1,2.5,3
blhpar1,3,17
blhpar1,3.5,8
blhpar1,4,85
blhpar1,4.5,11
blhpar1,5,67
blkvul,0,11
blkvul,1,1
blkvul,2,6
blkvul,2.5,1
blkvul,3,10
blkvul,4,19
blkvul,4.5,1
blkvul,5,21
bobfly1,0,174
bobfly1,0.5,1
bobfly1,1,3
bobfly1,1.5,2
bobfly1,2,14
bobfly1,2.5,3
bobfly1,3,28
bobfly1,3.5,18
bobfly1,4,123
bobfly1,4.5,30
bobfly1,5,118
bobher1,0,5
bobher1,1,2
bobher1,2,2
bobher1,3,5
bobher1,3.5,1
bobher1,4,13
bobher1,4.5,1
bobher1,5,10
brtpar1,0,12
brtpar1,2,1
brtpar1,2.5,1
brtpar1,3,11
brtpar1,3.5,4
brtpar1,4,28
brtpar1,4.5,5
brtpar1,5,12
bubcur1,3,10
bubcur1,3.5,1
bubcur1,4,2
bubcur1,5,7
bubwre1,0,38
bubwre1,0.5,1
bubwre1,1,3
bubwre1,1.5,2
bubwre1,2,11
bubwre1,2.5,8
bubwre1,3,51
bubwre1,3.5,10
bubwre1,4,120
bubwre1,4.5,24
bubwre1,5,111
bucmot3,0,3
bucmot3,1,1
bucmot3,2,3
bucmot3,2.5,2
bucmot3,3,7
bucmot3,3.5,4
bucmot3,4,12
bucmot3,4.5,3
bucmot3,5,12
bugtan,0,81
bugtan,1,5
bugtan,2,5
bugtan,2.5,6
bugtan,3,28
bugtan,3.5,8
bugtan,4,63
bugtan,4.5,7
bugtan,5,77
butsal1,0,16
butsal1,1,1
butsal1,1.5,2
butsal1,2,6
butsal1,2.5,4
butsal1,3,33
butsal1,3.5,15
butsal1,4,112
butsal1,4.5,29
butsal1,5,80
cargra1,0,31
cargra1,2,4
cargra1,2.5,1
cargra1,3,28
cargra1,4,19
cargra1,4.5,1
cargra1,5,10
cattyr,0,17
cattyr,2,2
cattyr,2.5,2
cattyr,3,7
cattyr,3.5,5
cattyr,4,30
cattyr,4.5,16
cattyr,5,35
chbant1,0,55
chbant1,2,4
chbant1,2.5,4
chbant1,3,33
chbant1,3.5,3
chbant1,4,63
chbant1,4.5,10
chbant1,5,98
chfmac1,0,17
chfmac1,2,7
chfmac1,2.5,4
chfmac1,3,12
chfmac1,3.5,3
chfmac1,4,42
chfmac1,4.5,10
chfmac1,5,44
cinbec1,1.5,1
cinbec1,2,3
cinbec1,2.5,2
cinbec1,3,15
cinbec1,3.5,4
cinbec1,4,31
cinbec1,4.5,4
cinbec1,5,7
cocher1,0,3
cocher1,2,2
cocher1,2.5,2
cocher1,3,2
cocher1,3.5,1
cocher1,4,9
cocher1,4.5,5
cocher1,5,16
cocwoo1,0,34
cocwoo1,1,1
cocwoo1,2,10
cocwoo1,2.5,3
cocwoo1,3,16
cocwoo1,3.5,10
cocwoo1,4,51
cocwoo1,4.5,6
cocwoo1,5,31
colara1,0,31
colara1,2,1
colara1,2.5,1
colara1,3,3
colara1,4,13
colara1,4.5,2
colara1,5,6
colcha1,0,42
colcha1,2,8
colcha1,2.5,2
colcha1,3,29
colcha1,3.5,2
colcha1,4,25
colcha1,4.5,4
colcha1,5,33
compau,0,395
compau,1,6
compau,2,17
compau,2.5,4
compau,3,52
compau,3.5,9
compau,4,133
compau,4.5,8
compau,5,184
compot1,0,211
compot1,2,3
compot1,2.5,4
compot1,3,21
compot1,3.5,4
compot1,4,77
compot1,4.5,8
compot1,5,55
cotfly1,0,61
cotfly1,2,5
cotfly1,2.5,7
cotfly1,3,23
cotfly1,3.5,9
cotfly1,4,69
cotfly1,4.5,19
cotfly1,5,67
crbtan1,0,18
crbtan1,1,1
crbtan1,2,3
crbtan1,3,5
crbtan1,3.5,1
crbtan1,4,15
crbtan1,4.5,4
crbtan1,5,9
crcwoo1,0,4
crcwoo1,1,2
crcwoo1,2,7
crcwoo1,2.5,1
crcwoo1,3,13
crcwoo1,3.5,7
crcwoo1,4,56
crcwoo1,4.5,7
crcwoo1,5,47
crebob1,0,4
crebob1,1,1
crebob1,2,2
crebob1,3,5
crebob1,3.5,3
crebob1,4,19
crebob1,5,16
cregua1,0,17
cregua1,1.5,1
cregua1,2,2
cregua1,2.5,1
cregua1,3,11
cregua1,3.5,4
cregua1,4,23
cregua1,5,18
creoro1,0,53
creoro1,2,10
creoro1,2.5,3
creoro1,3,26
creoro1,3.5,15
creoro1,4,59
creoro1,4.5,7
creoro1,5,56
eardov1,0,26
eardov1,1,7
eardov1,2,5
eardov1,2.5,1
eardov1,3,26
eardov1,3.5,2
eardov1,4,26
eardov1,4.5,2
eardov1,5,10
fotfly,0,15
fotfly,1,1
fotfly,2,1
fotfly,2.5,2
fotfly,3,6
fotfly,3.5,5
fotfly,4,28
fotfly,4.5,4
fotfly,5,18
gohman1,0,14
gohman1,1,2
gohman1,2,3
gohman1,3,26
gohman1,3.5,4
gohman1,4,55
gohman1,4.5,1
gohman1,5,29
grasal4,0,22
grasal4,1,2
grasal4,2,1
grasal4,2.5,2
grasal4,3,5
grasal4,3.5,7
grasal4,4,23
grasal4,4.5,4
grasal4,5,19
grbhaw1,0,12
grbhaw1,1,4
grbhaw1,2,4
grbhaw1,3,8
grbhaw1,3.5,2
grbhaw1,4,36
grbhaw1,4.5,2
grbhaw1,5,39
greani1,0,14
greani1,1,2
greani1,2,4
greani1,2.5,3
greani1,3,17
greani1,3.5,6
greani1,4,28
greani1,4.5,16
greani1,5,37
greegr,0,41
greegr,2,10
greegr,2.5,4
greegr,3,50
greegr,3.5,6
greegr,4,122
greegr,4.5,9
greegr,5,98
greibi1,0,17
greibi1,1,1
greibi1,2.5,7
greibi1,3,8
greibi1,3.5,11
greibi1,4,40
greibi1,4.5,7
greibi1,5,18
grekis,0,491
grekis,1,5
grekis,1.5,2
grekis,2,11
grekis,2.5,4
grekis,3,61
grekis,3.5,29
grekis,4,158
grekis,4.5,32
grekis,5,197
grepot1,0,11
grepot1,1,1
grepot1,2,5
grepot1,3,17
grepot1,3.5,4
grepot1,4,20
grepot1,5,9
gretin1,1,3
gretin1,1.5,1
gretin1,2,2
gretin1,3,22
gretin1,3.5,1
gretin1,4,41
gretin1,5,13
grnkin,0,14
grnkin,1,11
grnkin,1.5,2
grnkin,2,3
grnkin,2.5,3
grnkin,3,20
grnkin,3.5,7
grnkin,4,45
grnkin,4.5,1
grnkin,5,26
grysee1,0,6
grysee1,2,1
grysee1,3,5
grysee1,3.5,2
grysee1,4,7
grysee1,4.5,1
grysee1,5,3
gybmar,0,52
gybmar,1,3
gybmar,2,3
gybmar,3,12
gybmar,3.5,8
gybmar,4,35
gybmar,4.5,8
gybmar,5,43
gycwor1,0,139
gycwor1,2,6
gycwor1,2.5,5
gycwor1,3,42
gycwor1,3.5,11
gycwor1,4,85
gycwor1,4.5,16
gycwor1,5,61
labter1,0,16
labter1,2.5,1
labter1,3,2
labter1,3.5,2
labter1,4,12
labter1,4.5,7
labter1,5,27
laufal1,0,184
laufal1,1,3
laufal1,1.5,4
laufal1,2,17
laufal1,2.5,15
laufal1,3,52
laufal1,3.5,9
laufal1,4,124
laufal1,4.5,8
laufal1,5,51
leagre,0,22
leagre,1.5,1
leagre,2,1
leagre,2.5,1
leagre,3,11
leagre,3.5,5
leagre,4,33
leagre,4.5,9
leagre,5,25
linwoo1,0,70
linwoo1,1,1
linwoo1,1.5,1
linwoo1,2,15
linwoo1,2.5,3
linwoo1,3,38
linwoo1,3.5,9
linwoo1,4,97
linwoo1,4.5,23
linwoo1,5,73
littin1,0,43
littin1,1,6
littin1,1.5,3
littin1,2,8
littin1,2.5,8
littin1,3,51
littin1,3.5,7
littin1,4,106
littin1,4.5,8
littin1,5,83
mastit1,0,19
mastit1,1,1
mastit1,1.5,1
mastit1,2,3
mastit1,3,11
mastit1,3.5,7
mastit1,4,31
mastit1,4.5,7
mastit1,5,29
neocor,0,24
neocor,2,4
neocor,3,11
neocor,3.5,7
neocor,4,22
neocor,4.5,5
neocor,5,17
norscr1,0,3
norscr1,3,2
norscr1,3.5,1
norscr1,4,3
norscr1,4.5,2
norscr1,5,3
olipic1,0,4
olipic1,1.5,1
olipic1,2,1
olipic1,3,7
olipic1,3.5,3
olipic1,4,11
olipic1,5,11
orcpar,0,104
orcpar,1,1
orcpar,1.5,2
orcpar,2,8
orcpar,3,9
orcpar,3.5,5
orcpar,4,33
orcpar,4.5,10
orcpar,5,46
palhor2,0,9
palhor2,1,1
palhor2,2.5,2
palhor2,3,2
palhor2,3.5,4
palhor2,4,29
palhor2,4.5,4
palhor2,5,15
paltan1,0,43
paltan1,2,4
paltan1,2.5,5
paltan1,3,30
paltan1,3.5,13
paltan1,4,61
paltan1,4.5,16
paltan1,5,52
pavpig2,0,20
pavpig2,0.5,1
pavpig2,1,2
pavpig2,2,5
pavpig2,2.5,4
pavpig2,3,25
pavpig2,3.5,9
pavpig2,4,52
pavpig2,4.5,14
pavpig2,5,19
piepuf1,0,5
piepuf1,1,1
piepuf1,1.5,1
piepuf1,2,2
piepuf1,3,5
piepuf1,3.5,1
piepuf1,4,23
piepuf1,4.5,3
piepuf1,5,14
pirfly1,0,57
pirfly1,0.5,1
pirfly1,1,1
pirfly1,2,4
pirfly1,2.5,4
pirfly1,3,41
pirfly1,3.5,19
pirfly1,4,76
pirfly1,4.5,35
pirfly1,5,86
piwtyr1,1,1
piwtyr1,1.5,1
piwtyr1,2,2
piwtyr1,3,3
piwtyr1,3.5,1
piwtyr1,4,8
piwtyr1,5,3
plbwoo1,0,6
plbwoo1,1,2
plbwoo1,2,7
plbwoo1,2.5,1
plbwoo1,3,32
plbwoo1,3.5,5
plbwoo1,4,71
plbwoo1,4.5,6
plbwoo1,5,56
plctan1,0,3
plctan1,2.5,2
plctan1,4,1
plukit1,0,6
plukit1,1,1
plukit1,2,4
plukit1,2.5,2
plukit1,3,6
plukit1,3.5,2
plukit1,4,6
plukit1,4.5,2
plukit1,5,9
purgal2,0,27
purgal2,1,2
purgal2,2,1
purgal2,2.5,4
purgal2,3,14
purgal2,3.5,5
purgal2,4,62
purgal2,5,32
ragmac1,0,11
ragmac1,2.5,1
ragmac1,3,13
ragmac1,4,27
ragmac1,4.5,3
ragmac1,5,34
rebbla1,0,5
rebbla1,1,2
rebbla1,2,1
rebbla1,3,6
rebbla1,3.5,3
rebbla1,4,12
rebbla1,4.5,4
rebbla1,5,22
recwoo1,0,26
recwoo1,0.5,1
recwoo1,1,2
recwoo1,2,2
recwoo1,2.5,1
recwoo1,3,8
recwoo1,3.5,3
recwoo1,4,23
recwoo1,4.5,7
recwoo1,5,17
rinkin1,0,35
rinkin1,1,1
rinkin1,1.5,1
rinkin1,2,4
rinkin1,2.5,6
rinkin1,3,33
rinkin1,3.5,15
rinkin1,4,83
rinkin1,4.5,6
rinkin1,5,38
roahaw,0,209
roahaw,0.5,1
roahaw,1,5
roahaw,1.5,1
roahaw,2,22
roahaw,2.5,8
roahaw,3,73
roahaw,3.5,19
roahaw,4,197
roahaw,4.5,33
roahaw,5,141
rosspo1,0,4
rosspo1,1,2
rosspo1,2,7
rosspo1,2.5,1
rosspo1,3,4
rosspo1,3.5,1
rosspo1,4,9
rosspo1,4.5,1
rosspo1,5,5
royfly1,0,4
royfly1,2,3
royfly1,3,7
royfly1,4,21
royfly1,4.5,1
royfly1,5,4
rtlhum,0,9
rtlhum,1,3
rtlhum,2,1
rtlhum,2.5,1
rtlhum,3,16
rtlhum,3.5,3
rtlhum,4,53
rtlhum,4.5,12
rtlhum,5,50
rubsee1,0,13
rubsee1,2,3
rubsee1,3,5
rubsee1,3.5,2
rubsee1,4,22
rubsee1,4.5,4
rubsee1,5,21
rufmot1,0,13
rufmot1,0.5,1
rufmot1,1,2
rufmot1,2,2
rufmot1,2.5,1
rufmot1,3,16
rufmot1,3.5,3
rufmot1,4,31
rufmot1,4.5,3
rufmot1,5,25
rugdov,0,32
rugdov,1,4
rugdov,1.5,3
rugdov,2,5
rugdov,2.5,10
rugdov,3,20
rugdov,3.5,9
rugdov,4,25
rugdov,4.5,6
rugdov,5,24
rumfly1,0,44
rumfly1,2,2
rumfly1,2.5,1
rumfly1,3,27
rumfly1,3.5,2
rumfly1,4,62
rumfly1,4.5,15
rumfly1,5,83
ruther1,0,5
ruther1,1,1
ruther1,2,6
ruther1,2.5,2
ruther1,3,25
ruther1,3.5,4
ruther1,4,28
ruther1,4.5,1
ruther1,5,8
rutjac1,0,28
rutjac1,1,1
rutjac1,1.5,3
rutjac1,2,4
rutjac1,2.5,4
rutjac1,3,32
rutjac1,3.5,10
rutjac1,4,76
rutjac1,4.5,15
rutjac1,5,88
rutpuf1,0,1
rutpuf1,1,2
rutpuf1,2.5,1
rutpuf1,3,3
rutpuf1,3.5,4
rutpuf1,4,3
rutpuf1,4.5,1
rutpuf1,5,2
saffin,0,191
saffin,1,1
saffin,2,3
saffin,2.5,3
saffin,3,20
saffin,3.5,9
saffin,4,77
saffin,4.5,25
saffin,5,90
sahpar1,0,2
sahpar1,2,4
sahpar1,3,4
sahpar1,4,2
sahpar1,5,2
savhaw1,0,7
savhaw1,1,1
savhaw1,2,1
savhaw1,2.5,2
savhaw1,3,7
savhaw1,3.5,5
savhaw1,4,21
savhaw1,4.5,2
savhaw1,5,8
secfly1,0,18
secfly1,1,2
secfly1,1.5,1
secfly1,2,4
secfly1,2.5,2
secfly1,3,14
secfly1,3.5,1
secfly1,4,58
secfly1,4.5,2
secfly1,5,56
shghum1,2,1
shghum1,3,2
shghum1,3.5,1
shghum1,4,4
shghum1,5,7
shtfly1,0,6
shtfly1,1,1
shtfly1,1.5,2
shtfly1,2,4
shtfly1,2.5,3
shtfly1,3,11
shtfly1,3.5,1
shtfly1,4,44
shtfly1,4.5,2
shtfly1,5,16
smbani,0,52
smbani,2,7
smbani,2.5,8
smbani,3,26
smbani,3.5,13
smbani,4,87
smbani,4.5,6
smbani,5,88
snoegr,0,29
snoegr,2.5,1
snoegr,3,8
snoegr,3.5,4
snoegr,4,30
snoegr,4.5,3
snoegr,5,33
sobtyr1,0,104
sobtyr1,1,1
sobtyr1,1.5,5
sobtyr1,2,13
sobtyr1,2.5,6
sobtyr1,3,54
sobtyr1,3.5,21
sobtyr1,4,123
sobtyr1,4.5,25
sobtyr1,5,126
socfly1,0,205
socfly1,1,2
socfly1,1.5,1
socfly1,2,15
socfly1,2.5,7
socfly1,3,24
socfly1,3.5,23
socfly1,4,130
socfly1,4.5,30
socfly1,5,106
solsan,0,83
solsan,1,1
solsan,2,10
solsan,2.5,2
solsan,3,29
solsan,3.5,6
solsan,4,65
solsan,4.5,6
solsan,5,35
soulap1,0,216
soulap1,0.5,2
soulap1,1,1
soulap1,2,6
soulap1,2.5,2
soulap1,3,29
soulap1,3.5,6
soulap1,4,79
soulap1,4.5,17
soulap1,5,129
spbwoo1,0,1
spbwoo1,1.5,1
spbwoo1,2,4
spbwoo1,3,8
spbwoo1,3.5,3
spbwoo1,4,18
spbwoo1,4.5,2
spbwoo1,5,11
speowl1,0,51
speowl1,0.5,2
speowl1,1,4
speowl1,1.5,1
speowl1,2,12
speowl1,2.5,1
speowl1,3,25
speowl1,3.5,2
speowl1,4,53
speowl1,4.5,4
speowl1,5,46
spepar1,0,20
spepar1,2,5
spepar1,2.5,2
spepar1,3,12
spepar1,3.5,3
spepar1,4,24
spepar1,4.5,2
spepar1,5,13
srwswa1,0,16
srwswa1,1,1
srwswa1,2,1
srwswa1,3,6
srwswa1,3.5,1
srwswa1,4,29
srwswa1,4.5,6
srwswa1,5,52
stbwoo2,0,8
stbwoo2,2,6
stbwoo2,2.5,2
stbwoo2,3,18
stbwoo2,3.5,16
stbwoo2,4,87
stbwoo2,4.5,16
stbwoo2,5,57
strcuc1,0,147
strcuc1,0.5,2
strcuc1,1,3
strcuc1,1.5,6
strcuc1,2,15
strcuc1,2.5,2
strcuc1,3,28
strcuc1,3.5,17
strcuc1,4,88
strcuc1,4.5,22
strcuc1,5,101
strfly1,0,93
strfly1,0.5,1
strfly1,1,1
strfly1,2,4
strfly1,2.5,5
strfly1,3,37
strfly1,3.5,19
strfly1,4,97
strfly1,4.5,22
strfly1,5,98
strher,0,13
strher,1,1
strher,2,1
strher,2.5,1
strher,3,24
strher,3.5,4
strher,4,67
strher,4.5,6
strher,5,52
strowl1,0,45
strowl1,2,11
strowl1,2.5,1
strowl1,3,29
strowl1,3.5,2
strowl1,4,52
strowl1,5,24
tbsfin1,0,4
tbsfin1,1,1
tbsfin1,2,3
tbsfin1,3,5
tbsfin1,3.5,3
tbsfin1,4,9
tbsfin1,4.5,7
tbsfin1,5,8
thbeup1,0,27
thbeup1,1,3
thbeup1,1.5,1
thbeup1,2,3
thbeup1,3,12
thbeup1,3.5,5
thbeup1,4,40
thbeup1,4.5,10
thbeup1,5,52
thlsch3,0,9
thlsch3,2,3
thlsch3,3,6
thlsch3,4,28
thlsch3,4.5,3
thlsch3,5,48
trokin,0,346
trokin,1,5
trokin,2,13
trokin,2.5,3
trokin,3,46
trokin,3.5,23
trokin,4,160
trokin,4.5,38
trokin,5,153
tropar,0,109
tropar,1,3
tropar,2,7
tropar,2.5,4
tropar,3,33
tropar,3.5,9
tropar,4,130
tropar,4.5,16
tropar,5,86
trsowl,0,183
trsowl,1,5
trsowl,1.5,1
trsowl,2,16
trsowl,2.5,7
trsowl,3,52
trsowl,3.5,13
trsowl,4,144
trsowl,4.5,3
trsowl,5,46
turvul,0,5
turvul,1,1
turvul,4,4
turvul,5,1
verfly,0,34
verfly,1,3
verfly,2,5
verfly,3,4
verfly,3.5,2
verfly,4,11
verfly,4.5,5
verfly,5,5
watjac1,0,24
watjac1,1,2
watjac1,2,2
watjac1,2.5,4
watjac1,3,15
watjac1,3.5,10
watjac1,4,40
watjac1,4.5,7
watjac1,5,29
wbwwre1,0,57
wbwwre1,1,2
wbwwre1,2,17
wbwwre1,2.5,8
wbwwre1,3,47
wbwwre1,3.5,5
wbwwre1,4,157
wbwwre1,4.5,8
wbwwre1,5,198
whbant1,0,16
whbant1,2,1
whbant1,2.5,2
whbant1,3,6
whbant1,3.5,2
whbant1,4,25
whbant1,4.5,8
whbant1,5,44
whbman1,0,15
whbman1,1,3
whbman1,1.5,2
whbman1,2,15
whbman1,2.5,9
whbman1,3,46
whbman1,3.5,5
whbman1,4,111
whbman1,4.5,4
whbman1,5,36
whfant1,0,20
whfant1,2,2
whfant1,2.5,2
whfant1,3,12
whfant1,3.5,5
whfant1,4,54
whfant1,4.5,10
whfant1,5,21
whmtyr1,0,4
whmtyr1,3,3
whmtyr1,3.5,4
whmtyr1,4,10
whmtyr1,4.5,5
whmtyr1,5,8
whtdov,0,204
whtdov,0.5,1
whtdov,1.5,1
whtdov,2,8
whtdov,2.5,5
whtdov,3,49
whtdov,3.5,20
whtdov,4,126
whtdov,4.5,29
whtdov,5,129
whttro1,0,7
whttro1,1,2
whttro1,2,3
whttro1,2.5,1
whttro1,3,18
whttro1,3.5,3
whttro1,4,25
whttro1,4.5,4
whttro1,5,12
whwswa1,0,5
whwswa1,0.5,2
whwswa1,1,1
whwswa1,1.5,1
whwswa1,2.5,2
whwswa1,3,5
whwswa1,3.5,3
whwswa1,4,13
whwswa1,4.5,1
whwswa1,5,17
woosto,0,9
woosto,1,1
woosto,2,2
woosto,3,4
woosto,3.5,1
woosto,4,3
woosto,4.5,2
woosto,5,5
y00678,0,42
y00678,2,6
y00678,2.5,3
y00678,3,24
y00678,3.5,8
y00678,4,53
y00678,4.5,3
y00678,5,30
yebela1,0,34
yebela1,0.5,1
yebela1,1,1
yebela1,2,13
yebela1,2.5,9
yebela1,3,51
yebela1,3.5,19
yebela1,4,97
yebela1,4.5,15
yebela1,5,27
yebfly1,0,17
yebfly1,0.5,2
yebfly1,1,15
yebfly1,1.5,1
yebfly1,2,21
yebfly1,2.5,3
yebfly1,3,22
yebfly1,3.5,4
yebfly1,4,73
yebfly1,4.5,8
yebfly1,5,22
yebsee1,0,8
yebsee1,1.5,1
yebsee1,2,5
yebsee1,2.5,5
yebsee1,3,14
yebsee1,3.5,6
yebsee1,4,50
yebsee1,4.5,21
yebsee1,5,75
yecspi2,0,39
yecspi2,0.5,1
yecspi2,2,6
yecspi2,2.5,10
yecspi2,3,18
yecspi2,3.5,9
yecspi2,4,114
yecspi2,4.5,12
yecspi2,5,26
yectyr1,0,9
yectyr1,0.5,1
yectyr1,1,6
yectyr1,1.5,1
yectyr1,2,10
yectyr1,2.5,4
yectyr1,3,16
yectyr1,3.5,5
yectyr1,4,37
yectyr1,5,8
yehbla2,0,11
yehbla2,3,11
yehbla2,3.5,2
yehbla2,4,32
yehbla2,4.5,3
yehbla2,5,20
yehcar1,0,71
yehcar1,1,2
yehcar1,2,8
yehcar1,2.5,2
yehcar1,3,26
yehcar1,3.5,4
yehcar1,4,52
yehcar1,4.5,9
yehcar1,5,64
yelori1,0,9
yelori1,1,1
yelori1,2,1
yelori1,2.5,2
yelori1,3,9
yelori1,3.5,3
yelori1,4,21
yelori1,4.5,4
yelori1,5,10
yeofly1,0,59
yeofly1,1,1
yeofly1,2,10
yeofly1,2.5,3
yeofly1,3,58
yeofly1,3.5,19
yeofly1,4,169
yeofly1,4.5,32
yeofly1,5,174
yercac1,0,23
yercac1,1,7
yercac1,2,4
yercac1,2.5,7
yercac1,3,29
yercac1,3.5,8
yercac1,4,90
yercac1,4.5,39
yercac1,5,95
ywcpar,0,27
ywcpar,2,5
ywcpar,2.5,2
ywcpar,3,13
ywcpar,3.5,4
ywcpar,4,38
ywcpar,4.5,9
ywcpar,5,44